InfoID,DOB,Gender,FatherName,GuardianName,ContactNo,Cnic,Nationality,PersonalEmail,Address,City,Country
33,8/12/2001,Male,Khan Abbas,Khan Abbas,12345703,39373-5263260-5,Pakistani,nawazkhan@gmail.com,,Islamabad,Pakistan
34,10/14/2005,Male,Hussain Ullah,Hussain Ullah,12345704,57727-3233692-4,Pakistani,nadeem hussain@gmail.com,,Multan,Pakistan
35,2/16/1998,Male,Mahmood Ullah,Mahmood Ullah,12345705,79070-7032797-6,Pakistani,zaramahmood@gmail.com,,Islamabad,Pakistan
36,11/1/2003,Female,Abbas Malik,Abbas Malik,12345706,13609-4136153-4,Pakistani,amir abbas@gmail.com,,Karachi,Pakistan
37,2/7/2000,Female,Ali Ullah,Ali Ullah,12345707,94121-8346190-9,Pakistani,abbasali@gmail.com,,Karachi,Pakistan
38,12/12/2001,Male,Ahmed Naqvi,Ahmed Naqvi,12345708,99484-6318780-9,Pakistani,hamza ahmed@gmail.com,,Gilgit,Pakistan
39,3/19/2003,Male,Batool Malik,Batool Malik,12345709,96250-3613834-3,Pakistani,hinabatool@gmail.com,,Multan,Pakistan
40,9/8/1999,Male,Khan Abbas,Khan Abbas,12345710,76261-5096095-1,Pakistani,farahkhan@gmail.com,,Lahore,Pakistan
41,12/10/1998,Female,Ullah Abbas,Ullah Abbas,12345711,96384-6707417-7,Pakistani,majeedullah@gmail.com,,Gilgit,Pakistan
42,9/11/2000,Female,Jamal Ali,Jamal Ali,12345712,52672-6008772-7,Pakistani,sanamjamal@gmail.com,,Gilgit,Pakistan
